Using data for  U0
Training data size:  40000
Testing data size:  10000
Number of layers:  3
Number of units in layer [1,2,3]:  [25, 25, 25]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  5310.600758299836
Training MSE:   5310.600758299836
Training MAE:   18.22563007621765
Testing loss:   0.1719762561440468
Testing MSE:    0.1719762561440468
Testing MAE:    0.2751443496704102

Epoch  1
Training loss:  0.1084383157491684
Training MSE:   0.1084383157491684
Training MAE:   0.22390743255615234
Testing loss:   0.08342908874154091
Testing MSE:    0.08342908874154091
Testing MAE:    0.20072339630126954

Epoch  2
Training loss:  0.08439074933677912
Training MSE:   0.08439074933677912
Training MAE:   0.20943166847229003
Testing loss:   0.06316366304755211
Testing MSE:    0.06316366304755211
Testing MAE:    0.17679993591308593

Epoch  3
Training loss:  0.07775215225741267
Training MSE:   0.07775215225741267
Training MAE:   0.20368163528442382
Testing loss:   0.05644041785597801
Testing MSE:    0.05644041785597801
Testing MAE:    0.17339270935058593

Epoch  4
Training loss:  0.07922866804897785
Training MSE:   0.07922866804897785
Training MAE:   0.20900197944641113
Testing loss:   0.05332722182869911
Testing MSE:    0.05332722182869911
Testing MAE:    0.16882274475097656

Epoch  5
Training loss:  0.09449334458708764
Training MSE:   0.09449334458708764
Training MAE:   0.23251898498535156
Testing loss:   0.04767356794774532
Testing MSE:    0.04767356794774532
Testing MAE:    0.15398665924072266

Epoch  6
Training loss:  0.14507569249868393
Training MSE:   0.14507569249868393
Training MAE:   0.2955420639038086
Testing loss:   0.059355656629800795
Testing MSE:    0.059355656629800795
Testing MAE:    0.1890050735473633

Epoch  7
Training loss:  0.17122516804262997
Training MSE:   0.17122516804262997
Training MAE:   0.32306508750915525
Testing loss:   0.6123104447364807
Testing MSE:    0.6123104447364807
Testing MAE:    0.7547470596313477

Epoch  8
Training loss:  0.19306908909529447
Training MSE:   0.19306908909529447
Training MAE:   0.3462692211151123
Testing loss:   0.11910234858989716
Testing MSE:    0.11910234858989716
Testing MAE:    0.301710124206543

Epoch  9
Training loss:  0.17175225685983897
Training MSE:   0.17175225685983897
Training MAE:   0.3273745834350586
Testing loss:   0.04540763944387436
Testing MSE:    0.04540763944387436
Testing MAE:    0.1622106216430664

Training loss:  0.04591258105188608
Training MSE:   0.04591258105188608
Training MAE:   0.1614529613494873

Testing loss:  0.04540763944387436
Testing MSE:   0.04540763944387436
Testing MAE:   0.1622106216430664

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 25, 20]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  5988.544127328109
Training MSE:   5988.544127328109
Training MAE:   22.79687355041504
Testing loss:   11.89140204925537
Testing MSE:    11.89140204925537
Testing MAE:    2.6534299880981447

Epoch  1
Training loss:  5.209324447107315
Training MSE:   5.209324447107315
Training MAE:   1.6964660675048828
Testing loss:   1.5316360948562622
Testing MSE:    1.5316360948562622
Testing MAE:    0.9544399627685547

Epoch  2
Training loss:  0.7119491116166115
Training MSE:   0.7119491116166115
Training MAE:   0.6194800521850586
Testing loss:   0.24505077776908873
Testing MSE:    0.24505077776908873
Testing MAE:    0.36100624084472654

Epoch  3
Training loss:  0.17136463934630156
Training MSE:   0.17136463934630156
Training MAE:   0.2854557697296143
Testing loss:   0.11593894471526146
Testing MSE:    0.11593894471526146
Testing MAE:    0.2230828414916992

Epoch  4
Training loss:  0.1154807929880917
Training MSE:   0.1154807929880917
Training MAE:   0.2314912769317627
Testing loss:   0.16161773545742034
Testing MSE:    0.16161773545742034
Testing MAE:    0.32498580627441404

Epoch  5
Training loss:  0.11194792481064797
Training MSE:   0.11194792481064797
Training MAE:   0.23887442932128905
Testing loss:   0.07194528834819794
Testing MSE:    0.07194528834819794
Testing MAE:    0.17914556732177733

Epoch  6
Training loss:  0.161714082570374
Training MSE:   0.161714082570374
Training MAE:   0.301087837600708
Testing loss:   0.07129411938786506
Testing MSE:    0.07129411938786506
Testing MAE:    0.18660085601806642

Epoch  7
Training loss:  0.19322383147329092
Training MSE:   0.19322383147329092
Training MAE:   0.3374861610412598
Testing loss:   0.2046091223478317
Testing MSE:    0.2046091223478317
Testing MAE:    0.39561667785644533

Epoch  8
Training loss:  0.1996507488399744
Training MSE:   0.1996507488399744
Training MAE:   0.342594718170166
Testing loss:   0.23253554916381836
Testing MSE:    0.23253554916381836
Testing MAE:    0.4304267822265625

Epoch  9
Training loss:  0.2071875063613057
Training MSE:   0.2071875063613057
Training MAE:   0.3514850875854492
Testing loss:   0.11939678173065185
Testing MSE:    0.11939678173065185
Testing MAE:    0.2815561126708984

Training loss:  0.11853727852702141
Training MSE:   0.11853727852702141
Training MAE:   0.2809190490722656

Testing loss:  0.11939678173065185
Testing MSE:   0.11939678173065185
Testing MAE:   0.2815561126708984

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 25, 15]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  6043.50448272171
Training MSE:   6043.50448272171
Training MAE:   23.63968365936279
Testing loss:   19.019852160644533
Testing MSE:    19.019852160644533
Testing MAE:    3.3294093872070314

Epoch  1
Training loss:  11.190139575004578
Training MSE:   11.190139575004578
Training MAE:   2.454782740020752
Testing loss:   4.848964618301392
Testing MSE:    4.848964618301392
Testing MAE:    1.6342241012573242

Epoch  2
Training loss:  2.5006584856271745
Training MSE:   2.5006584856271745
Training MAE:   1.1181455535888671
Testing loss:   1.0090711811065673
Testing MSE:    1.0090711811065673
Testing MAE:    0.7344569961547851

Epoch  3
Training loss:  0.6087767772495747
Training MSE:   0.6087767772495747
Training MAE:   0.5575357414245605
Testing loss:   0.30237566158771517
Testing MSE:    0.30237566158771517
Testing MAE:    0.3833304733276367

Epoch  4
Training loss:  0.21484905214309694
Training MSE:   0.21484905214309694
Training MAE:   0.3160361846923828
Testing loss:   0.35146654357910156
Testing MSE:    0.35146654357910156
Testing MAE:    0.5137092544555664

Epoch  5
Training loss:  0.1334697715267539
Training MSE:   0.1334697715267539
Training MAE:   0.24481679382324217
Testing loss:   0.10546979937553405
Testing MSE:    0.10546979937553405
Testing MAE:    0.21008754577636718

Epoch  6
Training loss:  0.11507585043758153
Training MSE:   0.11507585043758153
Training MAE:   0.2370769557952881
Testing loss:   0.10674212428331376
Testing MSE:    0.10674212428331376
Testing MAE:    0.24349928588867187

Epoch  7
Training loss:  0.130865568959713
Training MSE:   0.130865568959713
Training MAE:   0.2686901847839355
Testing loss:   0.2214743944644928
Testing MSE:    0.2214743944644928
Testing MAE:    0.4107470275878906

Epoch  8
Training loss:  0.16070093177706002
Training MSE:   0.16070093177706002
Training MAE:   0.30462031745910645
Testing loss:   0.14919378077983855
Testing MSE:    0.14919378077983855
Testing MAE:    0.32195485534667967

Epoch  9
Training loss:  0.14469047045111655
Training MSE:   0.14469047045111655
Training MAE:   0.2878873497009277
Testing loss:   0.13295754607915877
Testing MSE:    0.13295754607915877
Testing MAE:    0.3014249588012695

Training loss:  0.1308150943517685
Training MSE:   0.1308150943517685
Training MAE:   0.3017582538604736

Testing loss:  0.13295754607915877
Testing MSE:   0.13295754607915877
Testing MAE:   0.3014249588012695

Number of layers:  3
Number of units in layer [1,2,3]:  [25, 25, 10]
Activation function in layer [1,2,3]:  ['relu', 'relu', 'relu']
Loss function:  mean_squared_error
Number of epochs:  10
Batch size:  32

Epoch  0
Training loss:  10048.353543498355
Training MSE:   10048.353543498355
Training MAE:   31.19063955345154
Testing loss:   0.3077162250757217
Testing MSE:    0.3077162250757217
Testing MAE:    0.3839848907470703

Epoch  1
Training loss:  0.14515347189754246
Training MSE:   0.14515347189754246
